Location,Value,Technical Description,X-Column,Y-Column,Rotation
DZ14,,"BZT52C10, 10 V, -5..5 %, 5 mA, 0.375 W, SOD-123F, SMD",,,
DZ6,,"SMD Zener Diode, 15 V, -2..2 %, 20 mA, 830 mW, SOD-123, SMD",,,
ISO2,,"Transistor Out, SOP-4, SMD",,,
J1,,"Board-to-Flat, 8 Poles, 1.25 mm, Female, THD",,,
J3,,"Board-to-Flat, 2 Poles, 3.96 mm, Male, THD",,,
J4,,"Board-to-Board, 4 Poles, 2.54 mm, Male, THD",,,
J7,,"Board-to-Flat, 7 Poles, 2 mm, Female, SMD",,,
L1,,"INDUC, SMD, PWR SHIELDED, 20%, 560uH",,,
L2,,"RF, 1000 uH, 5 %, 0.03 A, 40 Ohm, L4.8W3.4H3.4, SMD",,,
L3,,"RF, 1000 uH, 5 %, 0.03 A, 40 Ohm, L4.8W3.4H3.4, SMD",,,
L4,,"HF, 47 uH, 20 %, 1.08 A, 0.338 Ohm, L = 7.6; W = 7.6; H = 3.4, SMD",,,
L5,,"RF, 560 uH, 5 %, 0.05 A, 30 Ohm, L4.5 W3.2 H3.2, SMD",,,
L6,,"Storage, 1 mH, 10 %, 0.23 A, 2.6 Ohm, H5.8d9.8, SMD",,,
L7,,"HF, 18 uH, 20 %, 1.6 A, 0.1 Ohm, W = 7.8; H=5.3, SMD",,,
L8,,"INDUC, SMD, PWR SHIELDED, 20%, 560uH",,,
LED3,,"23-22B/R7G6, Multi Colour, Bottom, 25 mA, 1206/3216M, SMD",,,
LED4,,"23-22B/R7G6, Multi Colour, Bottom, 25 mA, 1206/3216M, SMD",,,
MOV2,MOV-14-3PINS,"VDR, 0.6 W, 460 V, THD, D = 14; P = 7.5 H = 21.5 d = 1.0",3,Bottom,0
PCB,,"PCB, P160 Customer Interface Unit G3",,,
Q1,SOT23,"BC807, PNP, 45 V, 0.5 A, 0.25 W, SOT23, SMD",3,Bottom,0
Q10,SOT23,"BC817, NPN, 45 V, 0.5 A, 0.25 W, SOT23, SMD",3,Bottom,270
Q18,SOT23,"BC807, PNP, 45 V, 0.5 A, 0.25 W, SOT23, SMD",3,Bottom,270
Q19,SOT23,"BC817, NPN, 45 V, 0.5 A, 0.25 W, SOT23, SMD",3,Bottom,270
Q2,SOT23,"2N7002, MOS-FET Enh N, 60 V, 0.115 A, 7.5 Ohm, 0.225 W, SOT-23, SMD",3,Bottom,270
Q20,SOT23,"BC807, PNP, 45 V, 0.5 A, 0.25 W, SOT23, SMD",3,Bottom,180
Q21,SOT23,"BC817, NPN, 45 V, 0.5 A, 0.25 W, SOT23, SMD",3,Bottom,270
Q3,SOT23,"BC807, PNP, 45 V, 0.5 A, 0.25 W, SOT23, SMD",3,Bottom,0
Q4,SOT23,"BC817, NPN, 45 V, 0.5 A, 0.25 W, SOT23, SMD",3,Bottom,270
Q5,SOT23,"BC817, NPN, 45 V, 0.5 A, 0.25 W, SOT23, SMD",3,Bottom,180
Q6,SOT23,"BC807, PNP, 45 V, 0.5 A, 0.25 W, SOT23, SMD",3,Bottom,180
Q7,SOT23,"BC807, PNP, 45 V, 0.5 A, 0.25 W, SOT23, SMD",3,Bottom,270
Q8,SOT23,"AAT8401, MOS-FET Enh P, 20 V, 2.4 A, 0.065 Ohm, 1.3 W, SOT-23, SMD",3,Bottom,0
Q9,SOT23,"BC817, NPN, 45 V, 0.5 A, 0.25 W, SOT23, SMD",3,Bottom,180
R1,RES-0603,"330 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,180
R10,RES-0603,"200 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R102,RES-0603,"2.2 MOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R103,RES-0603,"330 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,180
R104,RES-0603,"330 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R105,RES-0603,"10 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,0
R11,RES-0603,"10 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,90
R12,RES-0603,"680 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,0
R13,RES-0603,"15 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R14,RES-0603,"1 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,0
R15,RES-0603,"47 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,180
R16,RES-0603,"30 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R17,RES-0603,"47 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R18,RES-0603,"150 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R19,RES-0603,"15 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,90
R2,0805,"4.7 Ohm, 1 %, 0.125 W, Thick Film, 200 ppm/K, SMD, 0805/2012M",2,Bottom,0
R20,RES-0603,"4.7 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R21,RES-0603,"4.7 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
